soc_code,occupation_title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",3.38,3.18,3.37,3.06,2.88,2.5,3.88,3.63,3.5,3.38,3.06,2.75,2.5,2.69,2.94,3.12,3.0,2.32,3.62,3.0,2.82
53-3032,Heavy and tractor-trailer truck drivers,3.0,2.88,2.88,2.75,2.25,2.25,3.5,3.12,3.0,3.12,3.0,2.12,2.25,2.0,2.38,2.75,2.88,3.75,3.0,3.12,2.88
49-3040,Heavy vehicle and mobile equipment service technicians,3.04,3.04,3.0,2.79,2.67,2.46,3.62,3.34,3.17,3.25,3.04,2.5,2.54,2.58,2.83,3.21,3.13,2.33,3.46,3.17,2.71
25-2031,High school teachers,4.12,4.0,4.25,3.88,3.62,3.62,3.88,4.0,3.62,3.62,3.12,3.0,2.75,3.0,2.88,2.88,2.88,1.0,2.88,3.0,2.88
19-3093,Historians,4.0,4.75,4.0,4.25,3.12,3.0,3.38,3.5,3.88,3.38,3.25,2.0,1.62,2.25,2.0,2.38,2.12,1.0,2.0,3.0,2.12
11-3121,Human resources managers,4.25,4.12,4.25,4.0,3.5,3.38,3.88,4.0,3.88,3.38,3.38,3.0,3.0,2.88,3.0,2.75,2.62,1.0,2.38,3.12,2.62
13-1071,Human resources specialists,4.12,4.12,4.12,3.75,2.75,2.62,3.62,3.75,3.12,3.5,3.12,2.38,2.25,2.38,2.38,2.75,2.38,1.0,2.25,2.75,2.25
19-2043,Hydrologists,4.0,4.0,4.0,4.0,3.5,3.25,3.88,3.88,3.88,3.62,3.75,3.88,3.25,2.88,2.75,3.62,3.25,1.75,3.0,2.88,2.25
27-1021,Industrial designers,3.88,3.62,3.75,3.25,3.62,3.75,3.5,3.75,3.38,3.5,3.38,2.88,2.5,2.5,2.38,3.12,2.75,1.38,3.62,3.25,2.62
17-3026,Industrial engineering technologists and technicians,4.0,3.75,3.5,3.25,3.25,3.25,4.0,4.0,4.0,3.38,3.38,3.12,3.12,2.62,2.75,3.0,3.12,1.38,3.25,3.25,2.88
